id,MsgSvrID,type_name,is_sender,talker,room_name,content,CreateTime,group
1,1260990213282245816,文本,0,wxid_sgpjtwuudyir22,50034352069@chatroom,"{""src"": """", ""msg"": ""请问yivl6b全量微调什么显存能跑呢？""}",2024-07-01 10:43:56,Yi-VL User Group
2,4489295696994618572,文本,0,wxid_sgpjtwuudyir22,50034352069@chatroom,"{""src"": """", ""msg"": ""我现在64G*4，zero3，还是爆显存""}",2024-07-01 10:44:28,Yi-VL User Group
3,3377120281904989872,系统通知,0,系统,50034352069@chatroom,"{""src"": """", ""msg"": ""\""小狐狸 零一万物\""邀请\""miracle\""加入了群聊""}",2024-07-03 17:09:54,Yi-VL User Group
4,1456888346282869527,系统通知,0,系统,50034352069@chatroom,"{""src"": """", ""msg"": ""\""Richard-零一万物\""邀请\""01-王海鉴\""加入了群聊""}",2024-07-03 18:02:55,Yi-VL User Group
1,7353592699922440298,图片,0,unfish,49765965393@chatroom,"{""src"": ""FileStorage\\MsgAttach\\5ff22821d6c4d168b0f0fe346e2c0a25\\Image\\2024-07\\2f02267adcc72dac9a44f5643e66123e.dat"", ""msg"": ""图片""}",2024-07-02 08:54:37,零一万物大模型开放平台API
2,8632371192212527377,文本,0,unfish,49765965393@chatroom,"{""src"": """", ""msg"": ""零一的响应里有tools参数，但请求参数里不支持tools是吗？""}",2024-07-02 08:54:53,零一万物大模型开放平台API
3,7404622834994522066,文本,0,xmafile,49765965393@chatroom,"{""src"": """", ""msg"": ""目前是的，fc相关的功能模型在迭代""}",2024-07-02 14:06:34,零一万物大模型开放平台API
1,1173626340099905120,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""小蚁\""通过扫描\""零一万物@零一万物\""分享的二维码加入群聊""}",2024-07-01 00:57:24,零一万物大模型开放平台社区
2,447074448544279703,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""来10分钟波比呀～\""通过扫描\""零一万物@零一万物\""分享的二维码加入群聊""}",2024-07-01 10:03:58,零一万物大模型开放平台社区
3,5660802107931961045,文本,0,dgfgsdfg,44582323162@chatroom,"{""src"": """", ""msg"": ""请问一下我们一个有火车头采集接口吗""}",2024-07-01 10:22:54,零一万物大模型开放平台社区
